index,uids,synonyms,common_name,ignore,umls_cuis,model_relevance_bucket,freq
51,"[83369, 16811, 83342, 6320, 83350, 90781, 218431]","['myocardial infarction', 'MI', 'AMI', 'NSTEMI', 'STEMI', 'acute myocardial infarction', 'ischemic cardiomyopathy', 'silent myocardial infarction', 'heart attack', 'inferior myocardial infarction', 'anterior myocardial infarction', 'heart attacks', 'acute coronary syndrome', 'myocardial infarctions', 'anterior wall myocardial infarction', 'inferior wall myocardial infarction']",myocardial infarction,0,"['C0340324', 'C0155626', 'C0340293', 'C0027051', 'C0340305', 'C0349782', 'C0948089']",22,0.003676828729460461
52,[16813],"['prior myocardial infarction', 'previous myocardial infarction', 'old myocardial infarction', 'past myocardial infarction', 'past heart attack']",prior myocardial infarction,1,['C0155668'],22,6.356898504294065e-05
53,[5229],"['nephropathy', 'renal disease', 'kidney disease', 'renal disorders', 'kidney disorders']",nephropathy,0,['C0022658'],24,0.0016009245963371586
54,[292850],"['chronic kidney disease', 'CKD', 'chronic renal failure', 'chronic renal insufficiency', 'chronic renal disease']",chronic kidney disease,0,['C1561643'],24,0.0017557977256913385
55,[8241],"['renal failure', 'renal insufficiency', 'kidney failure', 'ESRD']",renal failure,0,['C0035078'],24,0.0013347524063130856
56,[5230],"['acute renal failure', 'acute kidney injury', 'acute renal insufficiency']",acute renal failure,0,['C0022660'],24,0.0
57,[5231],"['end-stage renal disease', 'end stage renal disease', 'chronic kidney failure', 'end-stage kidney disease', 'end-stage renal failure', 'esrd']",end-stage renal disease,0,['C0022661'],24,0.0025763744147508038
58,[2303],"['coronary artery bypass graft', 'CABG', 'coronary artery bypass grafting', 'coronary artery bypass graft surgery', 'coronary bypass', 'coronary artery bypass surgery', 'coronary artery bypass', 'coronary artery bypass surg']",coronary artery bypass graft,0,['C0010055'],3,0.001934642566548488
59,[149],"['acquired immunodeficiency syndrome', 'AIDS']",acquired immunodeficiency syndrome,0,['C0001175'],28,0.000977881978534096
60,[4561],"['human immunodeficiency virus', 'hiv', 'human immunodeficiency virus infection', 'human immunodeficiency virus disease']",human immunodeficiency virus,0,['C0019693'],28,0.005859338280915945
61,[4770],"['hypoparathyroidism', 'hypoparathyroid']",hypoparathyroidism,0,['C0020626'],25,2.5925973494489684e-05
62,[4793],"['hypothyroidism', 'hypothyroid']",hypothyroidism,0,['C0020676'],25,0.003250441191712376
63,[9982],"['UTI', 'urinary tract infection', 'UTIs', 'urinary tract infections', 'urinary infection']",urinary tract infection,0,['C0042029'],29,0.005038258092042071
64,"[53745, 53698]","['recurrent UTIs', 'frequent UTIs', 'chronic UTIs', 'recurrent urinary tract infection', 'chronic urinary tract infection', 'recurrent urinary tract infections', 'chronic urinary tract infections', 'frequent urinary tract infections']",chronic urinary tract infection,0,"['C0262655', 'C0262421']",29,0.0002808248880128941
65,[1908],"['primary biliary cirrhosis', 'biliary cirrhosis']",primary biliary cirrhosis,0,['C0008312'],32,5.012810016676511e-05
66,[5581],"['alcoholic cirrhosis', 'alcoholic liver cirrhosis', 'alcohol induced cirrhosis']",alcoholic cirrhosis,0,['C0023891'],32,0.0001803894758810148
67,[298220],['decompensated cirrhosis'],decompensated cirrhosis,0,['C1619727'],32,1.4780706416213342e-05
68,"[5580, 57990]","['cirrhosis', 'liver cirrhosis', 'cryptogenic cirrhosis', 'cirrhosis of the liver', 'hepatic cirrhosis']",cirrhosis,0,"['C0023890', 'C0267809']",32,0.0022076418727001424
69,"[2369, 17046]","[""crohn's"", ""crohn's disease"", 'crohn disease', 'crohn', ""crohn's colitis"", ""crohn's ileitis"", ""crohns's"", 'crohn colitis']",crohn's,0,"['C0010346', 'C0156147']",58,7.001207588834542e-05
70,[2154],"['uc', 'ulcerative colitis']",ulcerative colitis,0,['C0009324'],58,0.0008114539551339849
71,"[14808, 53689, 176122, 1829, 166711]","['chest pain', 'cp', 'atypical chest pain', 'substernal chest pain', 'left sided chest pain', 'right sided chest pain', 'chest pains', 'thoracic pain', 'substernal pain', 'left side chest pain', 'chest pain substernal', 'retrosternal chest pain', 'chest pain atypical', 'atypical chest discomfort', 'retrosternal pain', 'right side chest pain']",chest pain,0,"['C0151826', 'C0262384', 'C0563275', 'C0008031', 'C0541828']",38,0.01343517570031384
72,"[584, 586, 49325]","['angina', 'chest pain radiating', 'unstable angina', 'angina at rest', 'worsening angina', 'radiating chest pain', 'anginal pain', 'chest pain radiate', 'angina pectoris', 'ischemic chest pain']",angina,0,"['C0002962', 'C0002965', 'C0232289']",38,0.0011291282024454984
73,[49324],"['exertional chest pain', 'chest pain on exertion']",exertional chest pain,0,['C0232288'],38,6.306548522853153e-05
74,[1832],"['chest wall pain', 'musculoskeletal chest pain']",chest wall pain,0,['C0008035'],38,0.0001497101227826967
75,[303461],['chronic chest pain'],chronic chest pain,0,['C1740831'],38,7.326348994410598e-05
76,"[544, 192628]","['anemia', 'chronic anemia', 'anaemia', 'anemia chronic', 'anemias']",anemia,0,"['C0002871', 'C0581384']",39,0.0064577264756032786
77,[121549],"['suicidal ideation', 'SI', 'SA', 'suicidal thoughts', 'suicidal ideations', 'thoughts of suicide', 'feeling suicidal', 'suicidal']",suicidal ideation,0,['C0424000'],4,0.007961740158509423
78,"[2904, 311186]","['diverticulitis', 'sigmoid diverticulitis']",diverticulitis,0,"['C0012813', 'C1997972']",49,0.0008548573459150825
79,[167196],['perforated diverticulitis'],perforated diverticulitis,0,['C0544794'],49,9.890784489833293e-06
80,[286712],"['diverticulosis', 'diverticular disease']",diverticulosis,0,['C1510475'],49,0.0006652427293666736
81,"[800, 54475]","['arthritis', 'chronic arthritis', 'inflammatory arthritis', 'inflammatory arthropathy', 'arthritides']",arthritis,0,"['C0003864', 'C0263680']",46,0.003691259546175136
82,[52343],['knee arthritis'],knee arthritis,0,['C0240111'],46,0.00010966908669443284
83,"[18971, 6814]","['DJD', 'osteoarthritis', 'degenerative joint disease', 'polyarthritis', 'inflammatory polyarthropathy', 'polyarticular arthritis', 'osteoarthritis arthritis']",osteoarthritis,0,"['C0162323', 'C0029408']",46,0.00438568819698722
84,[803],['psoriatic arthritis'],psoriatic arthritis,0,['C0003872'],46,0.00023411034590991957
85,[1761],['cerebral palsy'],cerebral palsy,0,['C0007789'],35,0.0001949483010230817
86,"[4733, 52671, 4693, 4679]","['hyperlipidemia', 'hld', 'hypercholesterolemia', 'dyslipidemia', 'high cholesterol', 'hypertriglyceridemia', 'hypercholesteremia', 'elevated cholesterol', 'hyperlipemia', 'hypertriglyceridemia', 'high triglycerides', 'increased triglycerides', 'dyslipidemias', 'lipidemia', 'hypercholesterolemia']",hyperlipidemia,0,"['C0020557', 'C0242339', 'C0020473', 'C0020443']",36,0.009996545052544686
87,"[52238, 2718, 312991]","['diarrhea', 'loose stools', 'loose stool', 'diarrhoea', 'intermittent diarrhea', 'watery stool', 'watery stools', 'liquid stool', 'loose bowel', 'loose bowel movement', 'diarrheas', 'diarrhea intermittent']",diarrhea,1,"['C0239181', 'C0011991', 'C2129214']",47,0.009370720384919635
88,[101289],"['chronic diarrhea', 'recurrent diarrhea', 'diarrhea chronic']",chronic diarrhea,0,['C0401151'],47,0.00026111159019450326
89,"[4436, 166575]","['hepatitis c', 'hep c', 'hepc', 'chronic hepatitis c', 'hepatitis c infection']",hepatitis c,0,"['C0019196', 'C0524910']",32,0.004293112502297218
90,[4429],"['hep a', 'hepatitis a', 'hepatitis a infection']",hepatitis a,0,['C0019159'],32,0.0005368588105875088
91,"[4430, 166574]","['hep b', 'hepatitis b', 'chronic hepatitis b', 'chronic hep b', 'hepatitis b virus infection', 'chronic hepatitis b infection', 'chronic viral hepatitis b', 'hepatitis b infection']",hep b,0,"['C0019163', 'C0524909']",32,0.0018268936062649367
92,[1497],"['ca', 'cancer', 'malignancy', 'cancers', 'malignancies', 'malignant tumor']",cancer,0,['C0006826'],37,0.007529993334601186
93,"[8537, 60157]","['paranoid schizophrenia', 'chronic paranoid schizophrenia']",paranoid schizophrenia,0,"['C0036349', 'C0270398']",9,0.00015240683365309128
94,"[8532, 40502]","['schizophrenia', 'chronic schizophrenia']",schizophrenia,0,"['C0036341', 'C0221765']",9,0.0009368424767121737
95,[8530],"['schizoaffective disorder', 'schizoaffective', 'schizoaffective disorders']",schizoaffective disorder,0,['C0036337'],9,0.000838173580878306
96,[7386],"['personality disorder', 'unspecified personality disorder', 'character disorder']",personality disorder,0,['C0031212'],9,0.000336090393065664
97,[1282],"['borderline personality disorder', 'borderline personality']",borderline personality disorder,0,['C0006012'],9,0.0005404345126593294
98,[6236],"['dissociative identity disorder', 'multiple personality disorder', 'multiple personalities', 'multiple personality disorders']",dissociative identity disorder,0,['C0026773'],9,1.7136061480228863e-05
99,[5225],"['kidney stones', 'nephrolithiasis', 'kidney stone', 'renal stones', 'renal stone', 'renal calculi', 'renal calculus', 'nephrolith']",kidney stones,0,['C0022650'],27,0.0011388739107176208
100,"[3280, 3281, 3285]","['seizure disorder', 'epilepsy', 'temporal lobe epilepsy', 'epileptic', 'partial epilepsy', 'epileptic seizures', 'epileptic seizure', 'epileptics', 'seizure disorders', 'focal epilepsy', 'temporal lobe seizure', 'partial seizure disorder']",seizure disorder,0,"['C0014544', 'C0014547', 'C0014556']",19,0.004664925780500451
101,[224698],"['refractory epilepsy', 'intractable epilepsy', 'drug resistant epilepsy']",refractory epilepsy,0,['C1096063'],19,0.000171044860681388
102,[8016],"['psychosis', 'psychotic', 'psychotic disorder', 'psychoses', 'unspecified psychosis', 'atypical psychosis']",psychosis,0,['C0033975'],9,0.0019185732419631934
103,[1152],['bipolar depression'],bipolar depression,0,['C0005587'],9,2.7829032115052948e-05
104,[1151],"['bpd', 'bipolar disorder', 'manic depression', 'bpad', 'bipolar affective disorder', 'bi-polar disorder', 'manic depressive', 'bipolar disorders', 'bipolar mood disorder', 'manic depressive disorder', 'manic depressive psychosis']",bipolar disorder,0,['C0005586'],9,0.0020234974829489573
105,[166591],"['mood disorder', 'mood disorders', 'affective disorder', 'disorder mood']",mood disorder,0,['C0525045'],9,0.0012307583598997044
106,"[67176, 2947, 213700, 213502]","['polysubstance abuse', 'abuse', 'substance abuse', 'drug abuse', 'illicit drug use', 'recreational drug use', 'illegal drug use', 'drug and alcohol abuse', 'intravenous drug use', 'ivdu', 'drugs of abuse', 'medication abuse', 'multisubstance abuse']",polysubstance abuse,0,"['C0281875', 'C0013146', 'C0747752', 'C0740858']",18,0.0029705550321670244
107,"[5787, 5788]",['marijuana abuse'],marijuana abuse,0,"['C0024808', 'C0024809']",18,0.0009230004987635024
108,[6008],"['meth abuse', 'methamphetamine abuse', 'crank']",meth abuse,0,['C0025611'],18,0.002077969335751896
109,"[13159, 2110, 2111]","['cocaine', 'cocaine abuse', 'crack cocaine', 'snow', 'coke', 'blow', 'cocain']",cocaine abuse,0,"['C0085163', 'C0009170', 'C0009171']",18,0.003298504089250548
110,"[801, 4155]","['gout', 'gouty arthritis', 'gouty arthropathy']",gout,0,"['C0003868', 'C0018099']",46,0.002488381421761441
111,"[16741, 10142, 213775]","['dizziness', 'vertigo', 'chronic vertigo', 'spinning', 'peripheral vertigo', 'head spinning', 'spinning sensation', 'dizzy spell']",dizziness,1,"['C0155501', 'C0042571', 'C0750248']",51,0.0015294702921668615
112,[2911],"['lightheadedness', 'dizzy', 'dizzyness', 'dizziness']",dizziness,1,['C0012833'],51,0.005596690589592735
113,[6656],"['obesity', 'obese']",obesity,0,['C0028754'],60,0.010225731340947588
114,[6657],['morbid obesity'],morbid obesity,0,['C0028756'],60,0.0011577252851249044
115,[3935],['gastric bypass'],gastric bypass,0,['C0017125'],73,0.0006713103288250612
116,[93950],"['chemo', 'chemotherapy', 'cancer chemotherapy']",chemo,0,['C0392920'],37,0.0
117,[132397],"['chemoradiation', 'chemoradiotherapy']",chemoradiation,0,['C0436307'],37,0.00021087254939066496
118,[2250],"['constipation', 'constipated']",constipation,1,['C0009806'],70,0.006858034429744004
119,[101287],"['chronic constipation', 'infrequent bowel movements']",chronic constipation,0,['C0401149'],70,0.0003800484870321277
120,"[53992, 171665, 85493, 1710]","['cellulitis', 'lower extremity cellulitis', 'leg cellulitis', 'facial cellulitis', 'foot cellulitis', 'cellulitis of the leg']",cellulitis,0,"['C0263136', 'C0558382', 'C0343024', 'C0007642']",68,0.002550482576836952
121,[213549],['recurrent cellulitis'],recurrent cellulitis,0,['C0742020'],68,0.00010136560670426218
122,[299316],['mssa'],mssa,0,['C1635274'],66,0.0004546176629356335
123,[9012],"['staphylococcus infection', 'staphylococcal infection']",staphylococcus infection,0,['C0038160'],66,3.735285911302876e-05
124,[9016],"['staphylococcus', 'staph']",staphylococcus,0,['C0038170'],66,0.000384801866635956
125,[85777],"['mrsa', 'mrsa infection', 'methicillin-resistant staphylococcus aureus']",mrsa,0,['C0343401'],66,0.0011543885321175491
126,[403183],['mrsa bacteremia'],mrsa bacteremia,0,['C4040349'],66,8.433195196594703e-05
127,"[14874, 7358, 138055]","['neuropathy', 'peripheral neuropathy', 'polyneuropathy', 'neuropathies', 'peripheral neuropathies']",neuropathy,0,"['C0152025', 'C0031117', 'C0442874']",80,0.004572751178882946
128,[52941],['autonomic neuropathy'],autonomic neuropathy,0,['C0259749'],80,0.00010064022561570667
129,[6234],['multiple sclerosis'],multiple sclerosis,0,['C0026769'],55,0.00047142090250464275
130,[9267],"['syncope', 'passed out', 'fainting', 'pass out', 'fainted', 'falling out', 'faint', 'fainting episodes', 'blackout']",syncope,1,['C0039070'],56,0.002517814826166476
131,[9560],['tobacco'],tobacco,1,['C0040329'],64,0.0017127868940875765
132,"[9563, 147397]","['smoking', 'tobacco abuse', 'smoking tobacco', 'tobacco use disorder', 'tobacco smoking']",smoking,0,"['C0040336', 'C0453996']",64,0.006342297009676199
133,"[81848, 1579]","['colon cancer', 'colon adenocarcinoma', 'colonic adenocarcinoma', 'cancer of colon', 'adenocarcinoma colon', 'adenocarcinoma of the colon', 'colorectal cancer']",colon cancer,0,"['C0338106', 'C0007102', 'C0346629']",37,0.0016306310853872962
134,"[103818, 201547, 246030, 4799]","['TAH', 'hysterectomy', 'total abdominal hysterectomy', 'partial hysterectomy', 'total hysterectomy']",hysterectomy,0,"['C0404079', 'C0677962', 'C1270947', 'C0020699']",82,0.0019107305923116347
135,[1918],['cholecystostomy'],cholecystostomy,0,['C0008339'],31,3.4604944871677315e-05
136,"[19015, 1911]","['cholecystectomy', 'lap chole', 'laparoscopic cholecystectomy', 'gallbladder removal']",cholecystectomy,0,"['C0162522', 'C0008320']",31,0.0013672068096045747
137,[52683],"['lung cancer', 'lung cancer nos']",lung cancer,0,['C0242379'],37,0.0012121374006617267
138,[15749],"['metastatic lung cancer', 'lung cancer metastatic', 'metastases to lung', 'metastasis to the lung', 'cancer metastatic to lung', 'pulmonary metastases', 'lung metastases', 'metastasis to lung']",metastatic lung cancer,0,['C0153676'],37,9.428247372189666e-05
139,"[7776, 9038]","['prednisone', 'steroids', 'steroid', 'pred']",prednisone,1,"['C0032952', 'C0038317']",61,0.012635165698588713
140,[4869],"['immunosuppression', 'immunosuppressive therapy', 'immune suppression']",immunosuppression,0,['C0021079'],28,0.0004899309211055474
141,[13151],['tacrolimus'],tacrolimus,1,['C0085149'],28,0.00043395710275454083
142,"[109100, 5645]","['le', 'sle', 'lupus erythematosus', 'lupus', 'systemic lupus erythematosus', 'systemic lupus']",lupus erythematosus,0,"['C0409974', 'C0024141']",84,0.003945288003387274
143,[5646],['lupus nephritis'],lupus nephritis,0,['C0024143'],84,0.00010882423107364466
144,[5102],"['ibs', 'irritable bowel syndrome', 'irritable bowel', 'irritable bowel disease', 'inflammatory bowel disease']",irritable bowel syndrome,0,"['C0022104', 'C0021390']",62,0.0011374743519114664
